id,sample,library,fq1,fq2,sample_number,cell_type,stage,timepoint,cross,animal_id,slx_identifier,index_true_seq,run,pool,lane_number,date_sorted,rin,rna_qubit_concentration_ng_ul,library_prep_date,rin_category,ddw_ul,library_prep_input_in_ul_10ng,index,library_concentration_from_qubit_ng_ul,average_library_size_according_to_the_bioanalyzer_bp,library_concentration_n_m,comments
SLX-18044.D705rna_D507rna,basal_t2_bc_M00324965,LIB59,data/raw/reads/NovaSeq_Run_1/SLX-18044/SLX-18044.D705rna_D507rna.H3YKJDSXY.s_2.r_1.fq.gz,data/raw/reads/NovaSeq_Run_1/SLX-18044/SLX-18044.D705rna_D507rna.H3YKJDSXY.s_2.r_2.fq.gz,59,basal,gestation d9.5,t2,bc,M00324965 (AFGH40),SLX-18044,D705rna_D507rna,NovaSeq_Run_1,pool_1_4,4,2019-03-08T00:00:00Z,9.6,14.3,2020-01-06,hi,7.300699300699301,0.6993006993006993,5'5+3'7,8.02,364,33.38328338328338,NA
SLX-18045.D702rna_D501rna,stromal_t2_bc_M00324963,LIB98,data/raw/reads/NovaSeq_Run_1/SLX-18045/SLX-18045.D702rna_D501rna.H3YKJDSXY.s_1.r_1.fq.gz,data/raw/reads/NovaSeq_Run_1/SLX-18045/SLX-18045.D702rna_D501rna.H3YKJDSXY.s_1.r_2.fq.gz,98,stromal,gestation d9.5,t2,bc,M00324963 (AFGH38),SLX-18045,D702rna_D501rna,NovaSeq_Run_1,pool_5_8,5,2019-03-08T00:00:00Z,10,19.1,2020-01-08,hi,7.476439790575916,0.5235602094240838,5'2+3'1,3.98,424,14.222412807318468,NA
SLX-18045.D703rna_D501rna,stromal_t2_cb_M00321933,LIB101,data/raw/reads/NovaSeq_Run_1/SLX-18045/SLX-18045.D703rna_D501rna.H3YKJDSXY.s_1.r_1.fq.gz,data/raw/reads/NovaSeq_Run_1/SLX-18045/SLX-18045.D703rna_D501rna.H3YKJDSXY.s_1.r_2.fq.gz,101,stromal,gestation d9.5,t2,cb,M00321933 (AFGY27),SLX-18045,D703rna_D501rna,NovaSeq_Run_1,pool_5_8,5,2019-02-13T00:00:00Z,9.3,15.4,2020-01-08,hi,7.35064935064935,0.6493506493506493,5'3+3'1,5.44,388,21.243361449547017,NA
SLX-18045.D701rna_D501rna,stromal_t2_bc_M00315658,LIB97,data/raw/reads/NovaSeq_Run_1/SLX-18045/SLX-18045.D701rna_D501rna.H3YKJDSXY.s_1.r_1.fq.gz,data/raw/reads/NovaSeq_Run_1/SLX-18045/SLX-18045.D701rna_D501rna.H3YKJDSXY.s_1.r_2.fq.gz,97,stromal,gestation d9.5,t2,bc,M00315658 (AFGH27),SLX-18045,D701rna_D501rna,NovaSeq_Run_1,pool_5_8,5,2019-02-07T00:00:00Z,8.8,48.4,2020-01-08,hi,7.793388429752066,0.2066115702479339,5'1+3'1,7.44,399,28.252449305080887,NA
SLX-18045.D704rna_D501rna,stromal_t2_cb_M00333421,LIB102,data/raw/reads/NovaSeq_Run_1/SLX-18045/SLX-18045.D704rna_D501rna.H3YKJDSXY.s_1.r_1.fq.gz,data/raw/reads/NovaSeq_Run_1/SLX-18045/SLX-18045.D704rna_D501rna.H3YKJDSXY.s_1.r_2.fq.gz,102,stromal,gestation d9.5,t2,cb,M00333421 (AFGY43),SLX-18045,D704rna_D501rna,NovaSeq_Run_1,pool_5_8,5,2019-04-17T00:00:00Z,8.8,8.18,2020-01-08,hi,6.777506112469437,1.2224938875305624,5'4+3'1,5.42,396,20.73767982858892,NA
SLX-19103.D705rna_D502rna,luminaldifferentiated_t2_bc_M00315658,LIB449,data/raw/reads/NovaSeq_Run_5/SLX-19103/SLX-19103.D705rna_D502rna.H7FTJDSXY.s_2.r_1.fq.gz,data/raw/reads/NovaSeq_Run_5/SLX-19103/SLX-19103.D705rna_D502rna.H7FTJDSXY.s_2.r_2.fq.gz,449,luminal differentiated,gestation d9.5,t2,bc,M00315658 (AFGH27),SLX-19103,D705rna_D502rna,NovaSeq_Run_5,pool_17_20,17,2019-02-07T00:00:00Z,6.9,4.4,2020-01-27,med hi,5.7272727272727275,2.2727272727272725,5'5+3'2,4.4,403,16.542597187758478,NA
SLX-19103.D707rna_D502rna,luminaldifferentiated_t2_cb_M00321933,LIB453,data/raw/reads/NovaSeq_Run_5/SLX-19103/SLX-19103.D707rna_D502rna.H7FTJDSXY.s_2.r_1.fq.gz,data/raw/reads/NovaSeq_Run_5/SLX-19103/SLX-19103.D707rna_D502rna.H7FTJDSXY.s_2.r_2.fq.gz,453,luminal differentiated,gestation d9.5,t2,cb,M00321933 (AFGY27),SLX-19103,D707rna_D502rna,NovaSeq_Run_5,pool_17_20,17,2019-02-13T00:00:00Z,9.3,4,2020-01-27,hi,5.5,2.5,5'7+3'2,1.78,408,6.610219845513964,NA
SLX-19103.D708rna_D502rna,luminaldifferentiated_t2_cb_M00333421,LIB454,data/raw/reads/NovaSeq_Run_5/SLX-19103/SLX-19103.D708rna_D502rna.H7FTJDSXY.s_2.r_1.fq.gz,data/raw/reads/NovaSeq_Run_5/SLX-19103/SLX-19103.D708rna_D502rna.H7FTJDSXY.s_2.r_2.fq.gz,454,luminal differentiated,gestation d9.5,t2,cb,M00333421 (AFGY43),SLX-19103,D708rna_D502rna,NovaSeq_Run_5,pool_17_20,17,2019-04-17T00:00:00Z,7.6,4.8,2020-01-27,hi,5.916666666666666,2.0833333333333335,5'8+3'2,1.05,350,4.545454545454546,NA
SLX-19103.D706rna_D502rna,luminaldifferentiated_t2_bc_M00324963,LIB450,data/raw/reads/NovaSeq_Run_5/SLX-19103/SLX-19103.D706rna_D502rna.H7FTJDSXY.s_2.r_1.fq.gz,data/raw/reads/NovaSeq_Run_5/SLX-19103/SLX-19103.D706rna_D502rna.H7FTJDSXY.s_2.r_2.fq.gz,450,luminal differentiated,gestation d9.5,t2,bc,M00324963 (AFGH38),SLX-19103,D706rna_D502rna,NovaSeq_Run_5,pool_17_20,17,2019-03-08T00:00:00Z,NA,NA,2020-01-27,lo,0,8,5'6+3'2,0.718,494,2.2021837811311493,"used less, ran out"
SLX-19087.D701rna_D508rna,luminalprogenitors_t2_bc_M00324965,LIB443,data/raw/reads/NovaSeq_Run_5/SLX-19087/SLX-19087.D701rna_D508rna.H7FTJDSXY.s_1.r_1.fq.gz,data/raw/reads/NovaSeq_Run_5/SLX-19087/SLX-19087.D701rna_D508rna.H7FTJDSXY.s_1.r_2.fq.gz,443,luminal progenitors,gestation d9.5,t2,bc,M00324965 (AFGH40),SLX-19087,D701rna_D508rna,NovaSeq_Run_5,pool_17_20,20,2019-03-08T00:00:00Z,9,10.2,2020-01-27,hi,7.019607843137255,0.9803921568627452,5'1+3'8,4.26,378,17.075517075517077,NA
SLX-19087.D702rna_D508rna,luminalprogenitors_t2_bc_M00323188,LIB444,data/raw/reads/NovaSeq_Run_5/SLX-19087/SLX-19087.D702rna_D508rna.H7FTJDSXY.s_1.r_1.fq.gz,data/raw/reads/NovaSeq_Run_5/SLX-19087/SLX-19087.D702rna_D508rna.H7FTJDSXY.s_1.r_2.fq.gz,444,luminal progenitors,gestation d9.5,t2,bc,M00323188 (AFGH53),SLX-19087,D702rna_D508rna,NovaSeq_Run_5,pool_17_20,20,2019-04-11T00:00:00Z,9.3,58.8,2020-01-27,hi,7.829931972789115,0.17006802721088435,5'2+3'8,5.18,413,19.003595274781716,NA
SLX-19087.D704rna_D508rna,luminalprogenitors_t2_cb_M00351769,LIB448,data/raw/reads/NovaSeq_Run_5/SLX-19087/SLX-19087.D704rna_D508rna.H7FTJDSXY.s_1.r_1.fq.gz,data/raw/reads/NovaSeq_Run_5/SLX-19087/SLX-19087.D704rna_D508rna.H7FTJDSXY.s_1.r_2.fq.gz,448,luminal progenitors,gestation d9.5,t2,cb,M00351769 (AFGY73),SLX-19087,D704rna_D508rna,NovaSeq_Run_5,pool_17_20,20,2019-07-18T00:00:00Z,9.4,23.6,2020-01-27,hi,7.576271186440678,0.423728813559322,5'4+3'8,7.18,415,26.213946695874405,NA
SLX-19087.D703rna_D508rna,luminalprogenitors_t2_cb_M00348351,LIB447,data/raw/reads/NovaSeq_Run_5/SLX-19087/SLX-19087.D703rna_D508rna.H7FTJDSXY.s_1.r_1.fq.gz,data/raw/reads/NovaSeq_Run_5/SLX-19087/SLX-19087.D703rna_D508rna.H7FTJDSXY.s_1.r_2.fq.gz,447,luminal progenitors,gestation d9.5,t2,cb,M00348351 (AFGY62),SLX-19087,D703rna_D508rna,NovaSeq_Run_5,pool_17_20,20,2019-07-18T00:00:00Z,9.2,10.9,2020-01-27,hi,7.08256880733945,0.9174311926605504,5'3+3'8,3.86,405,14.440703329592218,NA
SLX-19105.D702rna_D506rna,luminalprogenitors_t2_bc_M00324963,LIB442,data/raw/reads/NovaSeq_Run_5/SLX-19105/SLX-19105.D702rna_D506rna.H7FTJDSXY.s_4.r_1.fq.gz,data/raw/reads/NovaSeq_Run_5/SLX-19105/SLX-19105.D702rna_D506rna.H7FTJDSXY.s_4.r_2.fq.gz,442,luminal progenitors,gestation d9.5,t2,bc,M00324963 (AFGH38),SLX-19105,D702rna_D506rna,NovaSeq_Run_5,pool_17_20,19,2019-03-08T00:00:00Z,8.9,8.88,2020-01-27,hi,6.873873873873874,1.126126126126126,5'2+3'6,2.54,389,9.893277245462336,NA
SLX-19105.D703rna_D506rna,luminalprogenitors_t2_cb_M00321933,LIB445,data/raw/reads/NovaSeq_Run_5/SLX-19105/SLX-19105.D703rna_D506rna.H7FTJDSXY.s_4.r_1.fq.gz,data/raw/reads/NovaSeq_Run_5/SLX-19105/SLX-19105.D703rna_D506rna.H7FTJDSXY.s_4.r_2.fq.gz,445,luminal progenitors,gestation d9.5,t2,cb,M00321933 (AFGY27),SLX-19105,D703rna_D506rna,NovaSeq_Run_5,pool_17_20,19,2019-02-13T00:00:00Z,9.5,18.9,2020-01-27,hi,7.470899470899471,0.5291005291005292,5'3+3'6,2.56,431,8.999507839415033,NA
SLX-19105.D704rna_D506rna,luminalprogenitors_t2_cb_M00333421,LIB446,data/raw/reads/NovaSeq_Run_5/SLX-19105/SLX-19105.D704rna_D506rna.H7FTJDSXY.s_4.r_1.fq.gz,data/raw/reads/NovaSeq_Run_5/SLX-19105/SLX-19105.D704rna_D506rna.H7FTJDSXY.s_4.r_2.fq.gz,446,luminal progenitors,gestation d9.5,t2,cb,M00333421 (AFGY43),SLX-19105,D704rna_D506rna,NovaSeq_Run_5,pool_17_20,19,2019-04-17T00:00:00Z,9.7,19.1,2020-01-27,hi,7.476439790575916,0.5235602094240838,5'4+3'6,2.56,421,9.213272871230116,NA
SLX-19105.D701rna_D506rna,luminalprogenitors_t2_bc_M00315658,LIB441,data/raw/reads/NovaSeq_Run_5/SLX-19105/SLX-19105.D701rna_D506rna.H7FTJDSXY.s_4.r_1.fq.gz,data/raw/reads/NovaSeq_Run_5/SLX-19105/SLX-19105.D701rna_D506rna.H7FTJDSXY.s_4.r_2.fq.gz,441,luminal progenitors,gestation d9.5,t2,bc,M00315658 (AFGH27),SLX-19105,D701rna_D506rna,NovaSeq_Run_5,pool_17_20,19,2019-02-07T00:00:00Z,9.4,20.8,2020-01-27,hi,7.519230769230769,0.4807692307692307,5'1+3'6,4.84,371,19.76639712488769,NA
SLX-19104.D708rna_D504rna,luminaldifferentiated_t2_cb_M00351769,LIB456,data/raw/reads/NovaSeq_Run_5/SLX-19104/SLX-19104.D708rna_D504rna.H7FTJDSXY.s_3.r_1.fq.gz,data/raw/reads/NovaSeq_Run_5/SLX-19104/SLX-19104.D708rna_D504rna.H7FTJDSXY.s_3.r_2.fq.gz,456,luminal differentiated,gestation d9.5,t2,cb,M00351769 (AFGY73),SLX-19104,D708rna_D504rna,NovaSeq_Run_5,pool_17_20,18,2019-07-18T00:00:00Z,8.8,5.24,2020-01-27,hi,6.091603053435115,1.9083969465648853,5'8+3'4,5.46,402,20.578923563998192,NA
SLX-19104.D705rna_D504rna,luminaldifferentiated_t2_bc_M00324965,LIB451,data/raw/reads/NovaSeq_Run_5/SLX-19104/SLX-19104.D705rna_D504rna.H7FTJDSXY.s_3.r_1.fq.gz,data/raw/reads/NovaSeq_Run_5/SLX-19104/SLX-19104.D705rna_D504rna.H7FTJDSXY.s_3.r_2.fq.gz,451,luminal differentiated,gestation d9.5,t2,bc,M00324965 (AFGH40),SLX-19104,D705rna_D504rna,NovaSeq_Run_5,pool_17_20,18,2019-03-08T00:00:00Z,NA,NA,2020-01-27,lo,0,8,5'5+3'4,1.71,486,5.331088664421998,"used less, ran out"
SLX-19104.D707rna_D504rna,luminaldifferentiated_t2_cb_M00348351,LIB455,data/raw/reads/NovaSeq_Run_5/SLX-19104/SLX-19104.D707rna_D504rna.H7FTJDSXY.s_3.r_1.fq.gz,data/raw/reads/NovaSeq_Run_5/SLX-19104/SLX-19104.D707rna_D504rna.H7FTJDSXY.s_3.r_2.fq.gz,455,luminal differentiated,gestation d9.5,t2,cb,M00348351 (AFGY62),SLX-19104,D707rna_D504rna,NovaSeq_Run_5,pool_17_20,18,2019-07-18T00:00:00Z,7,5.5,2020-01-27,med hi,6.181818181818182,1.8181818181818181,5'7+3'4,1.87,459,6.17283950617284,NA
SLX-19104.D706rna_D504rna,luminaldifferentiated_t2_bc_M00323188,LIB452,data/raw/reads/NovaSeq_Run_5/SLX-19104/SLX-19104.D706rna_D504rna.H7FTJDSXY.s_3.r_1.fq.gz,data/raw/reads/NovaSeq_Run_5/SLX-19104/SLX-19104.D706rna_D504rna.H7FTJDSXY.s_3.r_2.fq.gz,452,luminal differentiated,gestation d9.5,t2,bc,M00323188 (AFGH53),SLX-19104,D706rna_D504rna,NovaSeq_Run_5,pool_17_20,18,2019-04-11T00:00:00Z,9.7,5.6,2020-01-27,hi,6.214285714285714,1.7857142857142858,5'6+3'4,2.04,413,7.484041382346467,NA
SLX-19102.D712rna_D508rna,adipocytes_t2_cb_M00351769,LIB384,data/raw/reads/NovaSeq_Run_4/SLX-19102/SLX-19102.D712rna_D508rna.H7FT5DSXY.s_2.r_1.fq.gz,data/raw/reads/NovaSeq_Run_4/SLX-19102/SLX-19102.D712rna_D508rna.H7FT5DSXY.s_2.r_2.fq.gz,384,adipocytes,gestation d9.5,t2,cb,M00351769 (AFGY73),SLX-19102,D712rna_D508rna,NovaSeq_Run_4,pool_13_16,16,2019-07-18T00:00:00Z,7.5,18.5,2020-01-22,hi,7.45945945945946,0.5405405405405406,5'12+3'8,4.98,380,19.856459330143544,NA
SLX-19102.D709rna_D508rna,adipocytes_t2_bc_M00324965,LIB379,data/raw/reads/NovaSeq_Run_4/SLX-19102/SLX-19102.D709rna_D508rna.H7FT5DSXY.s_2.r_1.fq.gz,data/raw/reads/NovaSeq_Run_4/SLX-19102/SLX-19102.D709rna_D508rna.H7FT5DSXY.s_2.r_2.fq.gz,379,adipocytes,gestation d9.5,t2,bc,M00324965 (AFGH40),SLX-19102,D709rna_D508rna,NovaSeq_Run_4,pool_13_16,16,2019-03-08T00:00:00Z,8.5,20.6,2020-01-22,hi,7.514563106796117,0.48543689320388345,5'9+3'8,1.82,380,7.2567783094098885,NA
SLX-19102.D710rna_D508rna,adipocytes_t2_bc_M00323188,LIB380,data/raw/reads/NovaSeq_Run_4/SLX-19102/SLX-19102.D710rna_D508rna.H7FT5DSXY.s_2.r_1.fq.gz,data/raw/reads/NovaSeq_Run_4/SLX-19102/SLX-19102.D710rna_D508rna.H7FT5DSXY.s_2.r_2.fq.gz,380,adipocytes,gestation d9.5,t2,bc,M00323188 (AFGH53),SLX-19102,D710rna_D508rna,NovaSeq_Run_4,pool_13_16,16,2019-04-11T00:00:00Z,7.1,10.7,2020-01-22,hi,7.065420560747663,0.9345794392523366,5'10+3'8,2.4,341,10.663822980538523,NA
SLX-19102.D711rna_D508rna,adipocytes_t2_cb_M00348351,LIB383,data/raw/reads/NovaSeq_Run_4/SLX-19102/SLX-19102.D711rna_D508rna.H7FT5DSXY.s_2.r_1.fq.gz,data/raw/reads/NovaSeq_Run_4/SLX-19102/SLX-19102.D711rna_D508rna.H7FT5DSXY.s_2.r_2.fq.gz,383,adipocytes,gestation d9.5,t2,cb,M00348351 (AFGY62),SLX-19102,D711rna_D508rna,NovaSeq_Run_4,pool_13_16,16,2019-07-18T00:00:00Z,7.4,18.3,2020-01-22,hi,7.453551912568306,0.5464480874316939,5'11+3'8,2.44,370,9.991809991809992,NA
SLX-18047.D711rna_D501rna,endothelial_t2_cb_M00321933,LIB21,data/raw/reads/NovaSeq_Run_2/SLX-18047/SLX-18047.D711rna_D501rna.H73NVDSXY.s_2.r_1.fq.gz,data/raw/reads/NovaSeq_Run_2/SLX-18047/SLX-18047.D711rna_D501rna.H73NVDSXY.s_2.r_2.fq.gz,21,endothelial,gestation d9.5,t2,cb,M00321933 (AFGY27),SLX-18047,D711rna_D501rna,NovaSeq_Run_2,pool_1_4,1,2019-02-13T00:00:00Z,9.3,9.88,2020-01-02,hi,6.987854251012146,1.0121457489878543,5'11+3'1,7.9,397,30.150370200748036,NA
SLX-18047.D709rna_D501rna,endothelial_t2_bc_M00315658,LIB17,data/raw/reads/NovaSeq_Run_2/SLX-18047/SLX-18047.D709rna_D501rna.H73NVDSXY.s_2.r_1.fq.gz,data/raw/reads/NovaSeq_Run_2/SLX-18047/SLX-18047.D709rna_D501rna.H73NVDSXY.s_2.r_2.fq.gz,17,endothelial,gestation d9.5,t2,bc,M00315658 (AFGH27),SLX-18047,D709rna_D501rna,NovaSeq_Run_2,pool_1_4,1,2019-02-07T00:00:00Z,7.4,14.3,2020-01-02,hi,7.300699300699301,0.6993006993006993,5'9+3'1,3.4,426,12.092758571631812,NA
SLX-18047.D710rna_D501rna,endothelial_t2_bc_M00324963,LIB18,data/raw/reads/NovaSeq_Run_2/SLX-18047/SLX-18047.D710rna_D501rna.H73NVDSXY.s_2.r_1.fq.gz,data/raw/reads/NovaSeq_Run_2/SLX-18047/SLX-18047.D710rna_D501rna.H73NVDSXY.s_2.r_2.fq.gz,18,endothelial,gestation d9.5,t2,bc,M00324963 (AFGH38),SLX-18047,D710rna_D501rna,NovaSeq_Run_2,pool_1_4,1,2019-03-08T00:00:00Z,9.3,7.6,2020-01-02,hi,6.684210526315789,1.3157894736842106,5'10+3'1,3.64,436,12.649430080622743,NA
SLX-18047.D712rna_D501rna,endothelial_t2_cb_M00333421,LIB22,data/raw/reads/NovaSeq_Run_2/SLX-18047/SLX-18047.D712rna_D501rna.H73NVDSXY.s_2.r_1.fq.gz,data/raw/reads/NovaSeq_Run_2/SLX-18047/SLX-18047.D712rna_D501rna.H73NVDSXY.s_2.r_2.fq.gz,22,endothelial,gestation d9.5,t2,cb,M00333421 (AFGY43),SLX-18047,D712rna_D501rna,NovaSeq_Run_2,pool_1_4,1,2019-04-17T00:00:00Z,8.7,7.04,2020-01-02,hi,6.579545454545455,1.4204545454545454,5'12+3'1,2.64,406,9.852216748768473,NA
SLX-18041.D712rna_D503rna,endothelial_t2_cb_M00351769,LIB24,data/raw/reads/NovaSeq_Run_2/SLX-18041/SLX-18041.D712rna_D503rna.H73NVDSXY.s_1.r_1.fq.gz,data/raw/reads/NovaSeq_Run_2/SLX-18041/SLX-18041.D712rna_D503rna.H73NVDSXY.s_1.r_2.fq.gz,24,endothelial,gestation d9.5,t2,cb,M00351769 (AFGY73),SLX-18041,D712rna_D503rna,NovaSeq_Run_2,pool_1_4,2,2019-07-18T00:00:00Z,6.3,1.05,2020-01-02,med hi,-1.5238095238095237,9.523809523809524,5'12+3'3,8.9,349,38.638534340540076,"used less, sample run out"
SLX-18041.D711rna_D503rna,endothelial_t2_cb_M00348351,LIB23,data/raw/reads/NovaSeq_Run_2/SLX-18041/SLX-18041.D711rna_D503rna.H73NVDSXY.s_1.r_1.fq.gz,data/raw/reads/NovaSeq_Run_2/SLX-18041/SLX-18041.D711rna_D503rna.H73NVDSXY.s_1.r_2.fq.gz,23,endothelial,gestation d9.5,t2,cb,M00348351 (AFGY62),SLX-18041,D711rna_D503rna,NovaSeq_Run_2,pool_1_4,2,2019-07-18T00:00:00Z,8.1,5.4,2020-01-02,hi,6.148148148148149,1.8518518518518516,5'11+3'3,0.938,385,3.6914600550964183,NA
SLX-18041.D710rna_D503rna,endothelial_t2_bc_M00323188,LIB20,data/raw/reads/NovaSeq_Run_2/SLX-18041/SLX-18041.D710rna_D503rna.H73NVDSXY.s_1.r_1.fq.gz,data/raw/reads/NovaSeq_Run_2/SLX-18041/SLX-18041.D710rna_D503rna.H73NVDSXY.s_1.r_2.fq.gz,20,endothelial,gestation d9.5,t2,bc,M00323188 (AFGH53),SLX-18041,D710rna_D503rna,NovaSeq_Run_2,pool_1_4,2,2019-04-11T00:00:00Z,9.4,10.3,2020-01-02,hi,7.029126213592233,0.9708737864077669,5'10+3'3,4.04,362,16.909425749204754,NA
SLX-18041.D709rna_D503rna,endothelial_t2_bc_M00324965,LIB19,data/raw/reads/NovaSeq_Run_2/SLX-18041/SLX-18041.D709rna_D503rna.H73NVDSXY.s_1.r_1.fq.gz,data/raw/reads/NovaSeq_Run_2/SLX-18041/SLX-18041.D709rna_D503rna.H73NVDSXY.s_1.r_2.fq.gz,19,endothelial,gestation d9.5,t2,bc,M00324965 (AFGH40),SLX-18041,D709rna_D503rna,NovaSeq_Run_2,pool_1_4,2,2019-03-08T00:00:00Z,8,2,2020-01-02,hi,3,5,5'9+3'3,4.32,428,15.293118096856416,NA
SLX-19101.D709rna_D506rna,adipocytes_t2_bc_M00315658,LIB377,data/raw/reads/NovaSeq_Run_3/SLX-19101/SLX-19101.D709rna_D506rna.H77FWDSXY.s_4.r_1.fq.gz,data/raw/reads/NovaSeq_Run_3/SLX-19101/SLX-19101.D709rna_D506rna.H77FWDSXY.s_4.r_2.fq.gz,377,adipocytes,gestation d9.5,t2,bc,M00315658 (AFGH27),SLX-19101,D709rna_D506rna,NovaSeq_Run_3,pool_13_16,15,2019-02-07T00:00:00Z,7.9,23.4,2020-01-22,hi,7.572649572649572,0.4273504273504274,5'9+3'6,3.94,383,15.586676161088693,NA
SLX-19101.D711rna_D506rna,adipocytes_t2_cb_M00321933,LIB381,data/raw/reads/NovaSeq_Run_3/SLX-19101/SLX-19101.D711rna_D506rna.H77FWDSXY.s_4.r_1.fq.gz,data/raw/reads/NovaSeq_Run_3/SLX-19101/SLX-19101.D711rna_D506rna.H77FWDSXY.s_4.r_2.fq.gz,381,adipocytes,gestation d9.5,t2,cb,M00321933 (AFGY27),SLX-19101,D711rna_D506rna,NovaSeq_Run_3,pool_13_16,15,2019-02-13T00:00:00Z,NA,9.52,2020-01-22,hi,6.949579831932773,1.050420168067227,5'11+3'6,2.62,358,11.088539021499916,NA
SLX-19101.D712rna_D506rna,adipocytes_t2_cb_M00333421,LIB382,data/raw/reads/NovaSeq_Run_3/SLX-19101/SLX-19101.D712rna_D506rna.H77FWDSXY.s_4.r_1.fq.gz,data/raw/reads/NovaSeq_Run_3/SLX-19101/SLX-19101.D712rna_D506rna.H77FWDSXY.s_4.r_2.fq.gz,382,adipocytes,gestation d9.5,t2,cb,M00333421 (AFGY43),SLX-19101,D712rna_D506rna,NovaSeq_Run_3,pool_13_16,15,2019-04-17T00:00:00Z,6.9,11.5,2020-01-22,med hi,7.130434782608695,0.8695652173913043,5'12+3'6,3.62,389,14.099867570304589,NA
SLX-19101.D710rna_D506rna,adipocytes_t2_bc_M00324963,LIB378,data/raw/reads/NovaSeq_Run_3/SLX-19101/SLX-19101.D710rna_D506rna.H77FWDSXY.s_4.r_1.fq.gz,data/raw/reads/NovaSeq_Run_3/SLX-19101/SLX-19101.D710rna_D506rna.H77FWDSXY.s_4.r_2.fq.gz,378,adipocytes,gestation d9.5,t2,bc,M00324963 (AFGH38),SLX-19101,D710rna_D506rna,NovaSeq_Run_3,pool_13_16,15,2019-03-08T00:00:00Z,4.8,5.14,2020-01-22,med lo,6.054474708171206,1.945525291828794,5'10+3'6,2.18,424,7.790165809033734,NA
SLX-18046.D706rna_D503rna,basal_t3_bc_M00334656,LIB116,data/raw/reads/NovaSeq_Run_1/SLX-18046/SLX-18046.D706rna_D503rna.H3YKJDSXY.s_3.r_1.fq.gz,data/raw/reads/NovaSeq_Run_1/SLX-18046/SLX-18046.D706rna_D503rna.H3YKJDSXY.s_3.r_2.fq.gz,116,basal,gestation d14.5,t3,bc,M00334656 (AFGH61),SLX-18046,D706rna_D503rna,NovaSeq_Run_1,pool_5_8,6,2019-05-01T00:00:00Z,9.4,27.4,2020-01-08,hi,7.635036496350365,0.36496350364963503,5'6+3'3,12.3,390,47.78554778554779,NA
SLX-18046.D707rna_D503rna,basal_t3_cb_M00333420,LIB119,data/raw/reads/NovaSeq_Run_1/SLX-18046/SLX-18046.D707rna_D503rna.H3YKJDSXY.s_3.r_1.fq.gz,data/raw/reads/NovaSeq_Run_1/SLX-18046/SLX-18046.D707rna_D503rna.H3YKJDSXY.s_3.r_2.fq.gz,119,basal,gestation d14.5,t3,cb,M00333420 (AFGY42),SLX-18046,D707rna_D503rna,NovaSeq_Run_1,pool_5_8,6,2019-04-17T00:00:00Z,9.6,12.5,2020-01-08,hi,7.2,0.8,5'7+3'3,18.3,412,67.29920564872022,NA
SLX-18046.D708rna_D503rna,basal_t3_cb_M00338409,LIB120,data/raw/reads/NovaSeq_Run_1/SLX-18046/SLX-18046.D708rna_D503rna.H3YKJDSXY.s_3.r_1.fq.gz,data/raw/reads/NovaSeq_Run_1/SLX-18046/SLX-18046.D708rna_D503rna.H3YKJDSXY.s_3.r_2.fq.gz,120,basal,gestation d14.5,t3,cb,M00338409 (AFGY48),SLX-18046,D708rna_D503rna,NovaSeq_Run_1,pool_5_8,6,2019-05-16T00:00:00Z,9.8,25.6,2020-01-08,hi,7.609375,0.390625,5'8+3'3,21,394,80.75680664513152,NA
SLX-18046.D705rna_D503rna,basal_t3_bc_M00329356,LIB115,data/raw/reads/NovaSeq_Run_1/SLX-18046/SLX-18046.D705rna_D503rna.H3YKJDSXY.s_3.r_1.fq.gz,data/raw/reads/NovaSeq_Run_1/SLX-18046/SLX-18046.D705rna_D503rna.H3YKJDSXY.s_3.r_2.fq.gz,115,basal,gestation d14.5,t3,bc,M00329356 (AFGH60),SLX-18046,D705rna_D503rna,NovaSeq_Run_1,pool_5_8,6,2019-04-17T00:00:00Z,9.2,18,2020-01-08,hi,7.444444444444445,0.5555555555555556,5'5+3'3,11.2,420,40.4040404040404,NA
SLX-18042.D710rna_D505rna,endothelial_t3_bc_M00322174,LIB66,data/raw/reads/NovaSeq_Run_1/SLX-18042/SLX-18042.D710rna_D505rna.H3YKJDSXY.s_4.r_1.fq.gz,data/raw/reads/NovaSeq_Run_1/SLX-18042/SLX-18042.D710rna_D505rna.H3YKJDSXY.s_4.r_2.fq.gz,66,endothelial,gestation d14.5,t3,bc,M00322174 (AFGH43),SLX-18042,D710rna_D505rna,NovaSeq_Run_1,pool_1_4,3,2019-03-25T00:00:00Z,9.6,11,2020-01-06,hi,7.090909090909091,0.9090909090909091,5'10+3'5,7.5,371,30.629747610879686,NA
SLX-18042.D709rna_D505rna,endothelial_t3_bc_M00322173,LIB65,data/raw/reads/NovaSeq_Run_1/SLX-18042/SLX-18042.D709rna_D505rna.H3YKJDSXY.s_4.r_1.fq.gz,data/raw/reads/NovaSeq_Run_1/SLX-18042/SLX-18042.D709rna_D505rna.H3YKJDSXY.s_4.r_2.fq.gz,65,endothelial,gestation d14.5,t3,bc,M00322173 (AFGH42),SLX-18042,D709rna_D505rna,NovaSeq_Run_1,pool_1_4,3,2019-03-21T00:00:00Z,9.3,7.64,2020-01-06,hi,6.69109947643979,1.3089005235602096,5'9+3'5,4.7,380,18.740031897926634,NA
